Department,Class,Section,Year,Semester,A,B,C,D,F,Total,Name
AERO,101,200,2013,Fall,39,0,0,0,0,39,KINRA V
AERO,101,500,2013,Fall,35,1,2,0,0,38,KINRA V
AERO,201,200,2013,Fall,11,1,1,0,0,13,STRGANAC T
AERO,201,500,2013,Fall,22,28,12,2,1,65,STRGANAC T
AERO,209,500,2013,Fall,17,32,19,7,1,76,SHRYOCK K
AERO,210,500,2013,Fall,4,14,13,3,0,34,POLLOCK T
AERO,212,500,2013,Fall,7,6,14,2,2,31,BOYD J
AERO,213,501,2013,Fall,8,11,14,4,1,38,BOYD J
AERO,213,502,2013,Fall,6,15,15,1,1,38,BOYD J
AERO,214,500,2013,Fall,3,20,12,4,2,41,NARAGHI M
AERO,220,500,2013,Fall,14,8,7,2,1,32,WHITCOMB J
AERO,220,501,2013,Fall,11,11,5,2,2,31,WHITCOMB J
AERO,301,200,2013,Fall,4,1,0,2,0,7,DONZIS D
AERO,301,500,2013,Fall,13,27,20,1,1,62,DONZIS D
AERO,302,901,2013,Fall,14,11,0,0,0,25,REDINIOTIS O
AERO,302,902,2013,Fall,9,13,2,0,0,24,REDINIOTIS O
AERO,302,904,2013,Fall,6,12,0,0,1,19,REDINIOTIS O
AERO,303,500,2013,Fall,9,17,16,3,1,46,REED H
AERO,304,500,2013,Fall,8,22,19,7,0,56,BENZERGA A
AERO,305,501,2013,Fall,6,15,7,0,0,28,BHATTACHARYA R
AERO,305,502,2013,Fall,6,15,4,0,0,25,BHATTACHARYA R
AERO,306,500,2013,Fall,21,23,8,1,0,53,STROUBOULIS T
AERO,310,501,2013,Fall,12,18,15,7,0,52,CHAKRAVORTY S
AERO,320,500,2013,Fall,7,13,13,2,0,35,MORTARI D
AERO,351,500,2013,Fall,19,24,9,0,0,52,KARPETIS A
AERO,401,501,2013,Fall,28,0,0,0,0,28,VALASEK J
AERO,401,502,2013,Fall,19,0,0,0,0,19,POLLOCK T
AERO,402,501,2013,Fall,24,0,0,0,0,24,LUTZ W
AERO,402,503,2013,Fall,29,7,0,0,0,36,KANIPE D
AERO,417,500,2013,Fall,5,4,4,4,0,17,CIZMAS P
AERO,420,500,2013,Fall,15,9,1,0,0,25,STRGANAC T
AERO,421,500,2013,Fall,28,9,5,0,0,42,CHAMITOFF G
AERO,422,500,2013,Fall,3,3,10,1,0,17,VADALI S
AERO,423,500,2013,Fall,31,28,10,2,0,71,MORTARI D
AERO,426,500,2013,Fall,37,5,0,0,0,42,HYLAND D
AERO,430,500,2013,Fall,49,1,0,0,0,50,STROUBOULIS T
AERO,435,500,2013,Fall,30,7,2,0,0,39,BOWERSOX R
AERO,485,533,2013,Fall,9,0,0,0,0,9,CHAKRAVORTY S
AERO,489,500,2013,Fall,4,11,0,0,0,15,WHITCOMB J
AERO,603,600,2013,Fall,13,10,4,0,1,28,KINRA V
AERO,618,600,2013,Fall,3,5,1,0,0,9,HARTL D
AERO,622,600,2013,Fall,22,5,2,0,0,29,HURTADO J
AERO,676,600,2013,Fall,9,0,0,0,0,9,BOWERSOX R
AERO,685,624,2013,Fall,7,0,0,0,0,7,TURNER J
AERO,689,601,2013,Fall,7,2,0,0,0,9,TALREJA R
MEMA,602,600,2013,Fall,5,2,0,0,0,7,KINRA V
BMEN,101,200,2013,Fall,21,0,0,0,0,21,COTE G
BMEN,101,201,2013,Fall,12,0,0,0,0,12,COTE G
BMEN,101,501,2013,Fall,68,1,2,1,0,72,COTE G
BMEN,101,502,2013,Fall,67,3,0,1,0,71,COTE G
BMEN,289,501,2013,Fall,62,13,4,0,3,82,MEISSNER K
BMEN,305,501,2013,Fall,13,3,0,0,0,16,MAITLAND K
BMEN,305,502,2013,Fall,16,1,0,0,0,17,MAITLAND K
BMEN,305,503,2013,Fall,16,4,0,0,0,20,MAITLAND K
BMEN,305,504,2013,Fall,17,2,0,0,0,19,MAITLAND K
BMEN,321,500,2013,Fall,31,33,7,1,0,72,JO J
BMEN,341,500,2013,Fall,46,23,6,1,2,78,MORENO M
BMEN,343,500,2013,Fall,52,22,6,0,0,80,GAHARWAR A
BMEN,420,500,2013,Fall,26,46,8,1,1,82,MCDOUGALL M
BMEN,425,500,2013,Fall,3,3,0,0,0,6,MAITLAND K
BMEN,431,500,2013,Fall,3,3,1,0,0,7,HWANG W
BMEN,469,500,2013,Fall,16,8,0,0,0,24,PISHKO M
BMEN,485,537,2013,Fall,4,1,0,0,0,5,MORENO M
BMEN,489,507,2013,Fall,6,0,0,0,0,6,MORENO M
BMEN,489,512,2013,Fall,60,17,1,0,0,78,MCSHANE M
BMEN,608,600,2013,Fall,7,1,0,0,0,8,YAKOVLEV V
BMEN,625,600,2013,Fall,6,2,2,1,0,11,MAITLAND K
BMEN,669,600,2013,Fall,16,2,0,0,0,18,PISHKO M
BMEN,689,600,2013,Fall,10,0,1,0,0,11,MAITLAND D
BMEN,689,607,2013,Fall,4,1,0,0,0,5,MORENO M
BMEN,689,608,2013,Fall,4,0,2,0,0,6,KAUNAS R
BIOT,601,600,2013,Fall,18,1,0,0,0,19,KING M
BIOT,635,600,2013,Fall,14,4,1,0,0,19,KING M
BIOT,645,600,2013,Fall,12,0,0,0,0,12,YOUNG C
BIOT,645,601,2013,Fall,9,0,0,0,0,9,YOUNG C
CHEN,204,501,2013,Fall,15,13,16,8,0,52,JAYARAMAN A
CHEN,204,502,2013,Fall,15,27,29,15,2,88,HOLSTE J
CHEN,301,501,2013,Fall,17,10,2,0,1,30,RAISOR C
CHEN,301,502,2013,Fall,15,17,6,0,0,38,RAISOR C
CHEN,304,500,2013,Fall,10,25,9,1,1,46,VADDIRAJU S
CHEN,304,501,2013,Fall,24,32,9,1,0,66,UGAZ V
CHEN,313,500,2013,Fall,6,7,4,1,0,18,JEONG H
CHEN,313,501,2013,Fall,13,29,16,2,0,60,CAGIN T
CHEN,320,500,2013,Fall,27,37,14,7,3,88,SEMINARIO J
CHEN,354,500,2013,Fall,8,17,24,4,0,53,CHEN Z
CHEN,414,901,2013,Fall,16,3,0,0,1,20,ISDALE C
CHEN,414,902,2013,Fall,17,3,0,0,0,20,ISDALE C
CHEN,414,903,2013,Fall,15,5,0,0,0,20,ISDALE C
CHEN,414,904,2013,Fall,21,1,0,0,0,22,ISDALE C
CHEN,414,905,2013,Fall,20,0,0,0,0,20,ISDALE C
CHEN,424,500,2013,Fall,20,22,18,1,0,61,KAO K
